upper_name,correct
FIRST,FIRST_NAME
FIRST_NAME,FIRST_NAME
FIRSTNAME,FIRST_NAME
FISRT NAME,FIRST_NAME
FNL CARRT,REMOVE
FNL DPBC,REMOVE
FNL_CARRT,REMOVE
FNL_DPBC,REMOVE
FORTUNE 1000 RANK,REMOVE
FRANCHISE CODES,REMOVE
FREE,REMOVE
FULL NAME,FULL_NAME
FUNDED,REMOVE
ANNUAL REVENUE,ANNUAL_GROSS
FUNDED AMT.,REMOVE
FUNDED STATE,REMOVE
FUNDING COMPANY,REMOVE
FUNDING IS NEEDED IN:,REMOVE
FUNDING LENDER,REMOVE
GENDER,REMOVE
GROSS MONTHLY REVENUE,REMOVE
GROSS SALES,REMOVE
HAVE_BUSINESS_CREDIT_CARD,REMOVE
HAVE_CREDIT_LOAN,REMOVE
HOME ADDRESS,REMOVE
HOW MANY BUSINESS ADVANCES/LOANS,REMOVE
ID,REMOVE
IN BUSINESS,REMOVE
INDUSTRY,REMOVE
KEYCODE,REMOVE
LANDLINE,REMOVE
LAST,LAST_NAME
LAST NAME,LAST_NAME
LAST_NAME,LAST_NAME
LASTNAME,LAST_NAME
LATITUDE,REMOVE
LEAD ID,REMOVE
LEAD SOURCE,SOURCE
LEAD STATUS,REMOVE
LEGAL NAME,COMPANY
LINE STATUS,REMOVE
LINE TYPE,REMOVE
LINE_TYPE,REMOVE
LINEOFBUS,REMOVE
LINETYPE,REMOVE
BUSINESS NAMES,COMPANY
LOAN PURPOSE,REMOVE
LOAN USE,REMOVE
LOCAL ANNUAL SALES,REMOVE
LOCATION TYPE,REMOVE
LONGITUDE,REMOVE
LOOKING AMOUNT (USD),REMOVE
LOOKING FOR,REMOVE
LOOKING MONEY,REMOVE
MAIL CITY NAME,REMOVE
MAIL CRCODE,REMOVE
MAIL STATE ABBREV,STATE_PROVENCE
MAIL ZIP MEREGE,REMOVE
MAIL ZIP MERGE,REMOVE
MAIL_CRCODE,REMOVE
MAILADDR,REMOVE
MAILCITY,REMOVE
MAILING ADDRESS,REMOVE
MAILSTATE,STATE_PROVENCE
MAILZIP,REMOVE
MAILZIP4,REMOVE
MANUFIND,REMOVE
MATCH FLAG,REMOVE
MERCHANT ADDRESS,REMOVE
MERCHANT NAME,REMOVE
MERCHANT PHONE,PHONE
MERCHANT PHONE2,REMOVE
MERCHANTS NAME:,REMOVE
MOBILE,PHONE
MONTHLY,REMOVE
MONTHLY DEPOSITS,REMOVE
MONTHLY GROSS SALES,REMOVE
MONTHLY GROSS:,REMOVE
BUSINESS NUMBER 2,PHONE
MONTHLY SALES,REMOVE
MONTHLY_INCOME_RANGE,REMOVE
MONTLY GROSS REVENUE,REMOVE
NAICS CODE,REMOVE
NAICS DESCRIPTION,REMOVE
NAME,FULL_NAME
NATLCODES,REMOVE
NETWORK,REMOVE
NETWORKNAME,REMOVE
NSF,REMOVE
NUM_LOANS,REMOVE
NUMBER OF LOCAL EMPLOYEES,REMOVE
NUMBER1,REMOVE
NUMBER2,REMOVE
OFFICEDUN,REMOVE
ORIGINAL NETWORK,REMOVE
OWNER,FULL_NAME
OWNER ADDRESS 1,REMOVE
OWNER CELL 1,PHONE
OWNER CITY 1,REMOVE
OWNER EMAIL 1,EMAIL
OWNER NAME,FULL_NAME
OWNER NAME 1,FULL_NAME
OWNER PHONE 1,PHONE
OWNER STATE 1,STATE_PROVENCE
OWNER ZIP 1,REMOVE
OWNERFULLNAME,FULL_NAME
OWNERNAME,FULL_NAME
OWNERS NAME,FULL_NAME
PERSONAL CREDIT SCORE,REMOVE
PHONE,PHONE
PHONE 1,PHONE
PHONE 2,REMOVE
PHONE 2/LINE TYPE,REMOVE
PHONE NUMBER,PHONE
PHONE NUMBER2,REMOVE
PHONE NUMBER3,REMOVE
PHONE NUMBERS,PHONE
PHONE NUMBERS.1,REMOVE
PHONE STATUS,REMOVE
PHONE TYPE,REMOVE
PHONE_NUMBER,PHONE
PHONE_STATUS,REMOVE
PHONE1,PHONE
PHONE2,REMOVE
PHONENUMBER,PHONE
POPCODE,REMOVE
POSITION,REMOVE
PRIMARY SIC CODE,REMOVE
PRIMARY SIC DESC,REMOVE
PRIMARY_SIC_CODE,REMOVE
PRIMARY_SIC_DESC,REMOVE
PRISIC,REMOVE
PRSTGRP,REMOVE
PURCHASE PRICE,REMOVE
PURPOSE OF FUNDING,REMOVE
PURPOSE OF FUNDS,REMOVE
RATE,REMOVE
REASON,REMOVE
RESON FOR DEC,REMOVE
RESULT,REMOVE
BUSINESSMONTHLYREVENUE,MONTHLY_REVENUE
REVENUE PER MONTH,REMOVE
REVENUE SALES,REMOVE
ROLE,REMOVE
ROLE TITLE,REMOVE
EMPLOYEE SIZE,EMPLOYEE_SIZE
SALESCODE,REMOVE
SALESVOL,REMOVE
SEC PARTYNAME,FILING
SEC_PARTYNAME,FILING
SECNAME,REMOVE
SECONDARY ADDRESS,REMOVE
SECONDARY CITY,REMOVE
SECONDARY SIC 1,REMOVE
SECONDARY SIC 2,REMOVE
SECONDARY SIC 3,REMOVE
SECONDARY SIC 4,REMOVE
SECONDARY STATE,REMOVE
SECONDARY ZIP,REMOVE
SECONDARY ZIP4,REMOVE
SECPTYADDR,REMOVE
SECPTYCITY,REMOVE
SECPTYDUN,REMOVE
SECPTYNAME,REMOVE
SECPTYSEQ,REMOVE
SECPTYST,REMOVE
SECPTYZIP,REMOVE
SECURED PARTY NAME,REMOVE
SIC CODE,REMOVE
SIC CODES,REMOVE
SIC DESCRIPTION,REMOVE
SIC2,REMOVE
SIC3,REMOVE
SIC4,REMOVE
SIC5,REMOVE
SIC6,REMOVE
SOURCE,SOURCE
SPECIALTY CODES,REMOVE
SSN,REMOVE
ST,REMOVE
START DATE,REMOVE
STATE,STATE_PROVENCE
STATE/PROVENCE,STATE_PROVENCE
STATE/PROVINCE,STATE_PROVENCE
STATEFILED,REMOVE
STATUS,REMOVE
STATUS CODE,REMOVE
STATUSIND,REMOVE
SUBMISSION STATUS,REMOVE
SUBSIDIARY PARENT ID,REMOVE
SUBSIDIARY PARENT NAME,REMOVE
SUFFIX NAME,REMOVE
TALK TIME,REMOVE
TAX ID,REMOVE
TAX LIENS,REMOVE
TERM,REMOVE
TERM LENGTH,REMOVE
TIB,REMOVE
TIM FUNDING,REMOVE
TIME IN A BUSINESS:,REMOVE
TIME IN BUSINESS,REMOVE
TIME OF FUNDING,REMOVE
TIME_IN_BUSINESS,REMOVE
TIMEZONE,REMOVE
TITLE,REMOVE
TOTAL ANNUAL SALES,REMOVE
TOTAL NUMBER OF EMPLOYEES,REMOVE
TRANSFER TYPE,REMOVE
TRANSFER:,REMOVE
TRS,REMOVE
TYPE,TYPE
TYPE OF BUSINESS,REMOVE
UCC DATE,UCC_DATE
UCCTYPE,REMOVE
ULTIMATE PARENT ID,REMOVE
ULTIMATE PARENT NAME,REMOVE
ULTIMATE SITE NUMBER,REMOVE
UNNAMED: 0,REMOVE
UNNAMED: 10,REMOVE
UNNAMED: 11,REMOVE
UNNAMED: 12,REMOVE
UNNAMED: 13,REMOVE
UNNAMED: 14,REMOVE
UNNAMED: 15,REMOVE
UNNAMED: 16,REMOVE
UNNAMED: 17,REMOVE
UNNAMED: 2,REMOVE
UNNAMED: 21,REMOVE
UNNAMED: 22,REMOVE
UNNAMED: 3,REMOVE
UNNAMED: 4,REMOVE
UNNAMED: 5,REMOVE
UNNAMED: 6,REMOVE
UNNAMED: 7,REMOVE
UNNAMED: 8,REMOVE
USE OF FUNDS,REMOVE
USE OF FUNDS:,REMOVE
XREFDATE,REMOVE
XREFNUM,REMOVE
YEAR,FILLING_YEAR
YEAR IN BUSINESS,REMOVE
YEAR OF 1ST APPEARANCE,REMOVE
YEARS IN BUSINESS,REMOVE
ZIP CODE,REMOVE
ZIP+4,REMOVE
ZIP4,REMOVE
EMAIL 2,REMOVE
COMPANY DBA NAME,REMOVE
LOAN RANGE,REMOVE
UCC_DATE,UCC_DATE
UNNAMED: 9,REMOVE
LAST MONTH'S DEPOSIT,REMOVE
PHONE NUMBER 1,PHONE
PHONE NUMBER 2,REMOVE
2019,FILLING_YEAR
BUSINES NAME,COMPANY
CELLPHONE NUMBER,PHONE
NUMBER,PHONE
OWNER  NAME,FULL_NAME
PRO LEADS,REMOVE
FULL,FULL_NAME
SORTNAMECOLUMN ACTIONS,FULL_NAME
FIRSAT,FIRST_NAME
FIRSTQ,FIRST_NAME
FRIST,FIRST_NAME
SORTNAMECOLUMN,FIRST_NAME
RECOMMENDED EMAIL,EMAIL
COMOPANY,COMPANY
COMPANY / ACCOUNT,COMPANY
COMPANY MATCH,COMPANY
COMPNAY,COMPANY
EMPLOYER,COMPANY
SORTCOMPANYCOLUMN ACTIONS,COMPANY
CLEAROUTPHONE LOCAL FORMAT,PHONE
ADDRESS 1 - STATE,STATE_PROVENCE
EMAIL 1,EMAIL
RECOMMENDED WORK EMAIL,EMAIL
BOX NAME,COMPANY
COMPOANY,COMPANY
EMAIL ADDRESSES,EMAIL
ADDRESS.1,REMOVE
ADDRESS.2,REMOVE
ADDRESS.3,REMOVE
ADDRESS.4,REMOVE
ADDRESS.5,REMOVE
AMOUNTOWEDTOCURRENTLENDERS,REMOVE
CASHADVANCELENDERONE,REMOVE
REASON FOR DECLINE,REMOVE
EMAIL_STATUS,REMOVE
BUSINESS NUMBER 1,PHONE
EMPLOYEE_SIZE,EMPLOYEE_SIZE
CELL_PHONE,PHONE
CLEAROUTPHONE LINE TYPE,REMOVE
CLEAROUTPHONE VALIDATION STATUS,REMOVE
CREDIT_SCORE_EST,REMOVE
EMPLOYEES,EMPLOYEE_SIZE
IP,REMOVE
LOAN_REQUEST,REMOVE
OPT_IN,REMOVE
OPT_IN_2,REMOVE
SOURCE_URL,REMOVE
UNNAMED: 23,REMOVE
YEARS_IN_BUSINESS,REMOVE
BUSINESS NUMBER 2,REMOVE
ESTIMATED ANNUAL REVENUE,ANNUAL_GROSS
PHONE2/LINE TYPE,REMOVE
REVENUE LAST MONTH,REMOVE
UNNAMED: 24,REMOVE
UNNAMED: 25,REMOVE
UNNAMED: 26,REMOVE
UNNAMED: 27,REMOVE
UNNAMED: 28,REMOVE
UNNAMED: 29,REMOVE
UNNAMED: 30,REMOVE
UNNAMED: 31,REMOVE
UNNAMED: 32,REMOVE
UNNAMED: 33,REMOVE
UNNAMED: 34,REMOVE
UNNAMED: 35,REMOVE
UNNAMED: 36,REMOVE
UNNAMED: 37,REMOVE
UNNAMED: 38,REMOVE
UNNAMED: 39,REMOVE
UNNAMED: 40,REMOVE
UNNAMED: 41,REMOVE
UNNAMED: 42,REMOVE
ADDRESS,ADDRESS
ADDRESS STREET,ADDRESS
ADDRESS1,ADDRESS
CITY,CITY
MAIL_CITY_NAME,CITY
MAIL_STATE_ABBREV,STATE_PROVENCE
MAIL_ZIP_MERGE,ZIP
MAILING_ADDRESS,ADDRESS
ZIP,ZIP
BLAH BLAH,REMOVE
REMOVE,REMOVE
HOME PHONE,REMOVE
OFFICE PHONE,REMOVE
CORPORATE OFFICER/OWNER NAME:,REMOVE
AUTO TRANSPORT LLC,COMPANY
5/5/1980,UCC_DATE
63146,REMOVE
SAINT LOUIS,STATE_PROVENCE
LENDER,REMOVE
10352 FOREST BROOK LN APT F,ADDRESS
$,REMOVE
82-2545258,REMOVE
AKBAR ASADULLAH MOHIBONU,FULL_NAME
SAMIH.FAMARA@YAHOO.COM,EMAIL
MIKE'S QUICK STOP,COMPANY
DATE_POST,UCC_DATE
SAMIH SAMARA,FULL_NAME
DATE APPROVED,REMOVE
SIC,REMOVE
PHONE 3,REMOVE
ZIP CODE,ZIP
ADEPT FACILITIES & DESIGN INC,COMPANY
(267) 258-8825,PHONE
CATEGORY,REMOVE
ADDRESS 1 - CITY,CITY
"$46,862.96",REMOVE
488-25-6844,REMOVE
TRANSPORTATION,REMOVE
ADDRESS 1 - ZIP,ZIP
10/1/2017,UCC_DATE
MONTHLY REVENUE,REMOVE
USD 80000.00,REMOVE
ADDRESS 1 - STREET,ADDRESS
MO,REMOVE
6627269213,PHONE
JANICE,FIRST_NAME
ROSADO,LAST_NAME
RECOMMENDED PERSONAL EMAIL,EMAIL
D & I HAIR STYLE LLC,COMPANY
FILING,FILING
HOW MANY POSITIONS DO YOU HAVE?,REMOVE
PURCHASE,PURCHASE
FUNDED AMOUNT,LOAN_AMOUNT
˙OWNERFULLNAME,FULL_NAME
LINE TYPE 2,PHONE
LOAN AMOUNT,LOAN_AMOUNT
MONTHLY BANK DEPOSIT (USD),MONTHLY_REVENUE
MONTHLY DEPOSIT(SHOULD BE OVER 20K),MONTHLY_REVENUE
MONTHLY REV,MONTHLY_REVENUE
MONTHLY REVENUE,MONTHLY_REVENUE
MONTHLYREVENUE,MONTHLY_REVENUE
REVENUE,ANNUAL_GROSS
SALES,SALES_VOLUME
SALES VOLUME,SALES_VOLUME
SALES_VOLUME,SALES_VOLUME
FEDERAL ID,REMOVE
SECURED PARTY,REMOVE
LOOKING AMOUNT,REMOVE
CREDIT SCORE/ FICO SCORE,REMOVE
INDUSTRY TYPE,REMOVE
TPYE,TYPE
DATE BUSINESS STARTED,REMOVE
MOBILE PHONE,PHONE
ADDRESS LINE 1,REMOVE
PURPOSE,REMOVE
OWNER 1,REMOVE
APPLICATION SIGN DATE,UCC_DATE
SSI,REMOVE
"﻿""MOBILE PHONE""",PHONE
FILLED,REMOVE
MERCHANT EMAIL,EMAIL
LINE TYPE 1,REMOVE
D.O.B.,REMOVE
MOBILE PHONE NUMBER,PHONE
PHONE3,REMOVE
CONTACT NUMBER,PHONE
HOW SOON THEY NEED FUNDING,REMOVE
TRANSACTION TYPE,TYPE
BANKRUPTCIES,REMOVE
PHONETYPE,REMOVE
OUTSTANDING LOANS,REMOVE
BIZ START DATE,REMOVE
PURCAHSE DATE,PURCHASE
PURCHASE DATE,PURCHASE
CLEAROUT VERIFICATION STATUS,REMOVE
FICO SCORE,REMOVE
PHONE_TYPE,REMOVE
CEOPREFIX_,REMOVE
DISPOSITION,REMOVE
REVENUE.1,REMOVE
D,REMOVE
ALT PHONE 1,REMOVE
ALT PHONE 2,REMOVE
E,REMOVE
POSITIONS,REMOVE
EST. REVENUE,REMOVE
DOB,REMOVE
MONTHLY VOLUME,REMOVE
PURCHASED,PURCHASE
PHONE (2),REMOVE
HOW SOON MERCHANT CAN USE THE CAPITAL?,REMOVE
NATDNC,REMOVE
DBA APPLICABLE?,REMOVE
LOAN 1 AMOUNT,REMOVE
PURPOSE OF THE CAPITAL,REMOVE
EMAIL APPLICABLE?,REMOVE
POS 5,REMOVE
POS 3,REMOVE
DESIRED,REMOVE
ISCELL,REMOVE
2020 INCOME,REMOVE
LOAN 5 AMOUNT,REMOVE
DNC,REMOVE
POS 7,REMOVE
2021 INCOME,REMOVE
INFOUSA CONTACT NAME,REMOVE
D.O.B,REMOVE
HOW MUCH IS HE LOOKING FOR?,REMOVE
NXX,REMOVE
IUSA COUNTY DESC,REMOVE
ŸOWNERFULLNAME,REMOVE
LOAN 2 AMOUNT,REMOVE
POS 4,REMOVE
DEPOSIT MONTHLY,REMOVE
2022 INCOME,REMOVE
NUMBERTYPE,REMOVE
MONTHLY INCOME,REMOVE
LOAN 3 AMOUNT,REMOVE
DO YOU HAVE ANY LOANS RIGHT NOW?,REMOVE
LOAN 4 AMOUNT,REMOVE
REVENUE MONTHLY,REMOVE
TRUCKING,REMOVE
BANKRUPTCIES/ JUDGEMENTS,REMOVE
APT,REMOVE
TIME IN BIZ,REMOVE
EQUIPMENT,REMOVE
POS 6,REMOVE
POS 2,REMOVE
ALTERNATIVE NUMBER,REMOVE
CONTACT TITLE CODE DESCRIPTION,REMOVE
HIS MONTHLY GROSS REVENUE?,REMOVE
POSITION 1,REMOVE
DATE_FROM_FILE_NAME,DATE_FROM_FILE_NAME
SUB_SOURCE,SUB_SOURCE
66272692130,REMOVE
FILLING_MONTH,FILLING_MONTH
BROOKEVALE_FUNDING,REMOVE
ANDREW_WALKER,REMOVE
EXPRESS,REMOVE
POSITION_7,REMOVE
FILLING_DAY,FILLING_DAY
WEBSTER,REMOVE
GET_CAP_NOW,REMOVE
X_FUND_LLC,REMOVE
LUXLENDING,REMOVE
EMAIL_VERIFIED,REMOVE
FIRST_UNION,REMOVE
ELITE,REMOVE
PROTO,REMOVE
REGION,REMOVE
REQUESTED_FUNDING_AMOUNT,REMOVE
NUWAVE,REMOVE
QUICK_BIZ,REMOVE
YOUR_LENDER_NOW,REMOVE
SOS_BWL,REMOVE
LENDEFIED,REMOVE
AVI,REMOVE
PROSORCELGREMOVE,
LODESTAR,REMOVE
JEAN,REMOVE
REASON_FOR_FUNDS,REMOVE
NATIONAL_CREDIT,REMOVE
UNITED_FUNDS,REMOVE
JERRY,REMOVE
MCADEBTRELIEF,REMOVE
19800505_000000,REMOVE
MERCHANT_FIRST_NAME,REMOVE
FUNDING_ZONE,REMOVE
CELL_PHONE_NUMBERS,REMOVE
20171001_000000,REMOVE
SMB_FUNDING,REMOVE
HOW_SOON,REMOVE
NXG,REMOVE
FASTFUNDS,REMOVE
POSITION_5,REMOVE
INFUSION,REMOVE
SPARTAN,REMOVE
CARRIER,REMOVE
PHONE_VALIDATION,REMOVE
FACTOR_RATE,REMOVE
POSITION_2,REMOVE
CLICK2,REMOVE
DIAMOND_DEBT,REMOVE
PROCASH,REMOVE
NETWORKTYPE,REMOVE
BROOKS,REMOVE
POSITION_3,REMOVE
LEXINGTON,REMOVE
NCP,REMOVE
GOMEZ_CAPITAL,REMOVE
AARON_ACE_PARTNERS,REMOVE
MBF,REMOVE
LOANS,REMOVE
MOBILE_NUMBER,REMOVE
NUMBERTYPE_1,REMOVE
631460,REMOVE
STREET,REMOVE
POSITION_4,REMOVE
CORNELL,REMOVE
FINE_LAW,REMOVE
MERCHANT_LAST_NAME,REMOVE
LENDPAL,REMOVE
CAPITALIZE,REMOVE
REQUESTED_AMOUNT,REMOVE
POSITION_6,REMOVE
VP_CREDIT,REMOVE
DEAL_STATUS,REMOVE
CURRENT_CAP,REMOVE
CERULEAN,REMOVE
EFFECTIVE,REMOVE
TYPE,REMOVE
GMF,REMOVE
REVEUE,REMOVE
REQUESTED AMOUNT,REMOVE
PHONE 2 LINE TYPE,REMOVE
FIRST NAME,FIRST_NAME
EMAIL VERIFIED,REMOVE
COMPANY NAME:,COMPANY
YEARS IN BUSINESS:,REMOVE
AMOUNT REQUESTED:,REMOVE
MONTHLY GROSS,REMOVE
DEAL STATUS,REMOVE
6627269213.0,REMOVE
CELL PHONE NUMBERS,PHONE
FACTOR RATE,REMOVE
NUMBERTYPE 1,REMOVE
﻿PHONE1,PHONE
63146.0,REMOVE
2017-10-01 00:00:00,REMOVE
1980-05-05 00:00:00,REMOVE
46862.96,REMOVE
REQUESTED FUNDING AMOUNT,REMOVE
PHONE VALIDATION,REMOVE
﻿INDUSTRY,REMOVE
MOBILE NUMBER,PHONE
HOW SOON,REMOVE
�OWNERFULLNAME,FULL_NAME
MERCHANT FIRST NAME,REMOVE
MERCHANT LAST NAME,REMOVE
REASON FOR FUNDS,REMOVE
POSITION 2,REMOVE
POSITION 3,REMOVE
POSITION 4,REMOVE
POSITION 5,REMOVE
POSITION 6,REMOVE
POSITION 7,REMOVE
FIRST UNION,REMOVE
GOMEZ CAPITAL,REMOVE
BROOKEVALE FUNDING,REMOVE
CURRENT CAP,REMOVE
SMB FUNDING,REMOVE
ANDREW WALKER,REMOVE
AARON ACE PARTNERS,REMOVE
YOUR LENDER NOW,REMOVE
DIAMOND DEBT,REMOVE
VP CREDIT,REMOVE
UNITED FUNDS,REMOVE
NATIONAL CREDIT,REMOVE
PROSORCELG,REMOVE
X FUND LLC,REMOVE
GET CAP NOW,REMOVE
FUNDING ZONE,REMOVE
QUICK BIZ,REMOVE
FINE LAW,REMOVE
SOS (BWL),REMOVE
UPPER(E1),COMPANY
ASK IF THIS IS THE BEST EMAIL FOR THEM?,REMOVE
SCRUBBED AGAINST DNC? WIR = YES.,REMOVE
???,REMOVE
REMOVE4,REMOVE
